title,link,company,salary,location
GTM Strategy & Analytics Manager,https://www.ycombinator.com/companies/instawork/jobs/1n5wKvz-gtm-strategy-analytics-manager,Instawork,,"Chicago, Illinois, United States"
GTM Strategy & Analytics Manager,https://www.ycombinator.com/companies/instawork/jobs/dnZglmB-gtm-strategy-analytics-manager,Instawork,,"San Francisco, California, United States"
Executive Assistant to the CEO,https://www.ycombinator.com/companies/instawork/jobs/fVJlHcN-executive-assistant-to-the-ceo,Instawork,,"San Francisco, California, United States"
Sales Compensation Manager,https://www.ycombinator.com/companies/instawork/jobs/KOEPNgN-sales-compensation-manager,Instawork,,"San Francisco, California, United States"
GTM Strategy & Analytics Manager,https://www.ycombinator.com/companies/instawork/jobs/4IB2juK-gtm-strategy-analytics-manager,Instawork,,"Chicago, Illinois, United States"
GTM Strategy & Analytics Manager,https://www.ycombinator.com/companies/instawork/jobs/WQDUOMc-gtm-strategy-analytics-manager,Instawork,,"San Francisco, California, United States"
Staff / Principal ML Engineer,https://www.ycombinator.com/companies/instawork/jobs/Qkt7iii-staff-principal-ml-engineer,Instawork,,"San Francisco, California, United States / Remote (US)"
"Manager, Trust & Safety - Escalations",https://www.ycombinator.com/companies/instawork/jobs/Op5BmQw-manager-trust-safety-escalations,Instawork,,"San Francisco, California, United States"
Revenue Operations & Analytics Associate,https://www.ycombinator.com/companies/instawork/jobs/OOOVces-revenue-operations-analytics-associate,Instawork,,"Chicago, Illinois, United States"
Enterprise Account Manager,https://www.ycombinator.com/companies/instawork/jobs/95d6pYy-enterprise-account-manager,Instawork,,"Chicago, Illinois, United States"
Enterprise Account Manager,https://www.ycombinator.com/companies/instawork/jobs/xEQt2nH-enterprise-account-manager,Instawork,,"San Francisco, California, United States"
Enterprise Account Executive,https://www.ycombinator.com/companies/instawork/jobs/6DRfvQq-enterprise-account-executive,Instawork,,"Remote, United States / Remote (US)"
QA Automation Lead,https://www.ycombinator.com/companies/instawork/jobs/uBfRQ7T-qa-automation-lead,Instawork,6+ years,"Bengaluru, KA, IN"
Head of Data Science / Machine Learning,https://www.ycombinator.com/companies/instawork/jobs/tBoDihy-head-of-data-science-machine-learning,Instawork,,"San Francisco, California, United States / Remote (US)"
Lead Product Designer,https://www.ycombinator.com/companies/instawork/jobs/53Xk2Tk-lead-product-designer,Instawork,,Singapore
Enterprise Account Executive,https://www.ycombinator.com/companies/instawork/jobs/mhQkI3c-enterprise-account-executive,Instawork,,"Chicago, Illinois, United States / Remote (US)"
Enterprise Support Specialist,https://www.ycombinator.com/companies/instawork/jobs/5rjQjIB-enterprise-support-specialist,Instawork,,"Bengaluru, Karnataka, India"
Staff Software Engineer,https://www.ycombinator.com/companies/instawork/jobs/qEEC8KN-staff-software-engineer,Instawork,,"San Francisco, California, United States / Remote (US)"
Senior Account Executive,https://www.ycombinator.com/companies/instawork/jobs/JAXspOA-senior-account-executive,Instawork,$1,Remote (US)
Sales Director,https://www.ycombinator.com/companies/bitmovin/jobs/SPlTI7FBv-sales-director,Bitmovin,3+ years,United States / Remote
Senior Software Engineer - Platform,https://www.ycombinator.com/companies/xendit/jobs/OO1OrKOtc-senior-software-engineer-platform,Xendit,6+ years,Remote
Senior iOS Developer,https://www.ycombinator.com/companies/shape-shapescale/jobs/JnctVH9-senior-ios-developer,Shape Shapescale,$140K - $160K,"San Francisco, CA, US"
Full Stack Engineer,https://www.ycombinator.com/companies/givecampus/jobs/NJQAJaLHz-full-stack-engineer,Givecampus,$120K - $200K,"DC, SF, and remote / Remote (US)"
Senior GenAI Engineer - US & Canada (Remote),https://www.ycombinator.com/companies/tesorio/jobs/Ans4UYg-senior-genai-engineer-us-canada-remote,Tesorio,$140K - $200K,US / CA / Remote (US; CA)
Senior GenAI Engineer,https://www.ycombinator.com/companies/tesorio/jobs/8TgRncI-senior-genai-engineer,Tesorio,$96K - $114K,"Remote (US, Canada, Latam) / Remote (AR; BO; CL; CO; CR; CU; DO; EC; SV; GT; HN; MX; NI; PA; PY; PE; UY; VE; BR)"
